Total 566650
    111 study
    111 pávlovna
    111 perhaps
    111 peace
    111 military
    111 led
    111 events
    111 bad
    110 window
    110 showed
    110 pale
    110 historians
    110 besides
    109 show
    109 ordered
    109 fine
    109 feet
    109 bourienne
    108 red
    108 human
    108 handsome
    108 fear
    107 whose
    107 says
    107 peasants
    107 meet
    107 making
    107 giving
    107 everybody
    107 able
    106 shoulders
    106 beyond
    105 silence
    105 rest
    105 raised
    105 man's
    105 freedom
    105 close
    105 activity
    104 need
    104 i'm
    104 he's
    104 asking
    104 angry
    103 true
    103 straight
    103 name
    103 ground
    103 emperor's
    103 considered
    103 borodino
    102 running
    102 rostopchin
    102 remembered
    102 late
    101 yourself
    101 turn
    101 hussars
    100 project
    100 ought
    100 however
    100 generals
    100 four
    100 dress
    100 campaign
    100 attack
     99 thin
     99 run
     99 open
     99 legs
     99 galloped
     99 company
     99 children
     98 shouting
     98 napoleon's
     98 guns
     97 upon
     97 unable
     97 return
     97 questions
     97 commander-in-chief
     97 captain
     97 body
     96 ten
     96 carried
     95 talked
     95 smolensk
     95 neither
     95 laughing
     95 decided
     95 colonel
     95 case
     95 andrew's
     95 aim
     94 uniform
     94 struck
     94 meaning
     94 me!
     94 fresh
     94 frenchman
     94 father's
     94 balashev
     93 you?
     93 interrupted
     93 cry
     93 country
     93 business
     92 wait
     92 meeting
     92 me?
     92 laws
     92 flank
     91 opinion
     91 clearly
     91 call
     91 arrived
     90 rapidly
     90 duty
     90 dark
     90 corner
     90 closed
     90 changed
     89 spent
     88 wrote
     88 rather
     88 plan
     88 hardly
     88 german
     88 child
     87 sight
     87 rostóvs
     87 particularly
     87 live
     87 gazed
     87 expected
     87 berg
     86 within
     86 sounds
     86 pleased
     86 occupied
     86 it!
     86 foot
     86 dmítrievna
     86 beginning
     85 tomorrow
     85 seems
     85 porch
     85 pleasant
     85 living
     85 knowing
     85 experienced
     85 )
     84 water
     84 remarked
     84 listening
     84 five
     84 farther
     84 exclaimed
     84 excellency
     83 various
     83 surprise
     83 move
     83 keep
     83 hope
     83 forces
     83 firing
     83 event
     83 cannon
     83 calm
     83 bring
     82 subject
     82 seem
     82 retreat
     82 reading
     82 point
     82 passing
     82 least
     82 knows
     82 fixed
     82 change
     82 book
     81 use
     81 seized
     81 meant
     81 instead
     81 hill
     81 guards
     81 difficult
     81 despite
     81 cap
     81 beautiful
     80 view
     80 uncle
     80 pressed
     80 master
     80 leaving
     80 joy
     80 hills
     80 hard
     79 victory
     79 quiet
     79 lady
     79 kutúzov's
     79 continually
     79 carts
     79 bald
     78 you!
     78 single
     78 rushed
     78 prepared
     78 middle
     78 marry
     78 drove
     78 covered
     78 cossacks
     77 today
     77 step
     77 remain
     77 lying
     77 hussar
     77 getting
     77 fight
     77 effort
     77 begun
     76 whispered
     76 tíkhon
     76 truth
     76 street
     76 simply
     76 probably
     76 number
     76 listen
     76 laughed
     76 infantry
     76 finished
     76 distance
     76 deep
     76 conception
     75 there's
     75 thank
     75 sad
     75 pointing
     75 pass
     75 march
     75 ladies
     75 involuntarily
     75 future
     75 cossack
     75 bonaparte
     75 angrily
     74 sleep
     74 ranks
     74 lived
     74 law
     74 hearing
     74 evident
     74 cavalry
     73 year
     73 suite
     73 special
     73 poor
     73 person
     73 paused
     73 path
     73 nearer
     73 mouth
     73 mamma
     73 glancing
     73 desire
     73 battery
     72 presented
     72 means
     72 looks
     72 gray
     72 following
     72 fall
     72 direction
     72 condition
     72 blue
     71 you're
     71 therefore
     71 spite
     71 sofa
     71 sense
     71 result
     71 real
     71 placed
     71 low
     71 liked
     71 happen
     71 dressed
     71 affair
     70 suffering
     70 story
     70 party
     70 matters
     70 glass
     70 forget
     70 except
     70 brilliant
     70 approached
     70 ago
     70 addressing
     69 walked
     69 sister
     69 send
     69 rostóvs'
     69 peasant
     69 occurred
     69 notice
     69 group
     69 figure
     69 cross
     69 count's
     69 bright
     69 austrian
     69 asleep
     69 according
     68 try
     68 sit
     68 report
     68 muttered
     68 latter
     68 idea
     68 glance
     68 formed
     68 dressing
     68 drawn
     68 actions
     67 what's
     67 tea
     67 serious
     67 neck
     67 married
     67 flushed
     67 enter
     67 danger
     67 consciousness
     66 you'll
     66 whatever
     66 wearing
     66 understanding
     66 telling
     66 strong
     66 silently
     66 sake
     66 plain
     66 laughter
     66 interest
     66 hurriedly
     66 hour
     66 guests
     66 dead
     66 consider
     66 bennigsen
     66 account
     65 unknown
     65 sure
     65 riding
     65 relations
     65 crossed
     65 chair
     64 written
     64 surrounded
     64 stop
     64 sorry
     64 said:
     64 rubles
     64 o'clock
     64 leg
     64 grown
     64 growing
     64 greater
     64 feelings
     64 fate
     64 advance
     63 wishing
     63 simple
     63 pretty
     63 nesvítski
     63 minutes
     63 majesty
     63 lifted
     63 forest
     63 expecting
     63 effect
     63 court
     63 blood
     63 begin
     63 bare
     63 (he
     62 wrong
     62 wood
     62 véra
     62 settled
     62 regard
     62 pity
     62 onto
     62 one's
     62 imagine
     62 hold
     62 gentlemen
     62 filled
     62 express
     62 die
     62 cut
     62 city
     62 bent
     62 animated
     61 threw
     61 recognized
     61 learned
     61 excited
     61 addressed
     60 write
     60 visit
     60 squadron
     60 spread
     60 slightly
     60 post
     60 pointed
     60 needed
     60 instant
     60 gazing
     60 explain
     60 doubt
     60 conditions
     60 aside
     60 act
     59 yard
     59 visitors
     59 tall
     59 surprised
     59 snow
     59 sky
     59 possibility
     59 personal
     59 kindly
     59 julie
     59 houses
     59 familiar
     59 eh?
     59 dying
     59 camp
     59 approaching
     58 speranski
     58 shown
     58 shoulder
     58 serfs
     58 rising
     58 maid
     58 letters
     58 laugh
     58 him?
     58 him!
     58 higher
     58 friends
     58 fingers
     58 enemy's
     58 bowed
     58 blame
     58 amid
     57 touched
     57 sun
     57 sort
     57 significance
     57 seven
     57 rostóv's
     57 river
     57 manner
     57 caught
     57 boots
     57 big
     57 allow
     56 tushin
     56 stay
     56 started
     56 sovereign
     56 shed
     56 paper
     56 noticing
     56 nearly
     56 miles
     56 marriage
     56 health
     56 gutenberg-tm
     56 genius
     56 form
     56 estate
     56 certainly
     56 advanced
     55 spot
     55 sir
     55 sighed
     55 opposite
     55 movements
     55 is!
     55 happens
     55 handed
     55 earth
     55 confused
     55 burning
     55 broken
     55 beauty
     55 1812
     54 wolf
     54 we'll
     54 unexpectedly
     54 stern
     54 sorrow
     54 six
     54 pushed
     54 lit
     54 kurágin
     54 hut
     54 highest
     54 gate
     54 forgive
     54 destroyed
     54 conscious
     54 character
     54 bilibin
     54 avoid
     53 twenty
     53 spoken
     53 splendid
     53 regarded
     53 quietly
     53 play
     53 mass
     53 mary's
     53 laid
     53 karataev
     53 government
     53 enough
     53 denisov's
     53 convinced
     53 commanders
     53 carry
     53 bear
     53 artillery
     53 arrival
     53 appear
     53 abandoned
     52 twice
     52 stupid
     52 promised
     52 michael
     52 merry
     52 historical
     52 here?
     52 heavy
     52 hastily
     52 hall
     52 fallen
     52 eye
     52 comes
     52 cloak
     52 church
     52 ceased
     52 caused
     52 apart
     51 supper
     51 stepped
     51 shook
     51 she's
     51 scarcely
     51 rooms
     51 quarters
     51 putting
     51 plans
     51 ones
     51 on!
     51 mon
     51 kill
